carat,cut,color,clarity,depth,table,price,x,y,z
0.79,Premium,D,SI1,61.4,59,3058,5.96,5.89,3.64
0.34,Premium,D,SI1,59.6,59,803,4.57,4.55,2.72
0.31,Ideal,D,VS2,62.5,56,942,4.36,4.34,2.72
0.96,Good,D,SI2,64,62,3419,6.16,6.13,3.93
0.5,Very Good,D,VS2,63.8,56,1580,5.05,5.08,3.23
1.01,Very Good,D,SI2,60.1,60,4690,6.41,6.47,3.87
1.29,Premium,D,SI2,59.4,62,6935,7.06,6.99,4.17
0.31,Premium,D,SI2,62.1,59,593,4.35,4.31,2.69
0.4,Premium,D,SI1,61.6,58,990,4.73,4.69,2.9
1.06,Premium,D,VS2,62.3,59,7541,6.48,6.52,4.05
0.25,Very Good,D,VVS2,63,56,512,3.98,4.02,2.52
0.7,Good,D,SI1,62.6,62,2546,5.61,5.64,3.52
1.04,Premium,D,VS2,62,60,6814,6.49,6.45,4.01
0.32,Ideal,D,SI1,62.6,55,756,4.39,4.36,2.74
0.91,Premium,D,VS2,62,58,5167,6.2,6.15,3.83
0.92,Good,D,SI2,57.8,63,3277,6.4,6.36,3.69
0.73,Ideal,D,VS2,60.7,57,4134,5.84,5.88,3.55
0.31,Ideal,D,SI1,61.5,56,571,4.33,4.35,2.67
1.05,Ideal,D,SI2,62.1,56,5156,6.48,6.54,4.04
0.41,Good,D,VS1,60.2,62,986,4.8,4.84,2.9
0.35,Very Good,D,VS1,63.9,55,792,4.49,4.53,2.88
0.3,Ideal,D,VS2,61,55,778,4.38,4.34,2.66
0.7,Very Good,D,SI1,61.1,57,2677,5.74,5.66,3.48
0.5,Premium,D,VS2,62.2,60,1431,5.15,5.05,3.17
0.51,Premium,D,VS2,60.5,60,1882,5.19,5.16,3.13
0.32,Ideal,D,SI1,62.7,54,589,4.37,4.4,2.75
0.53,Very Good,D,VS1,59.4,59,1907,5.25,5.32,3.14
0.32,Ideal,D,VS2,62.7,57,758,4.4,4.44,2.77
0.72,Ideal,D,SI2,61.8,56,2618,5.75,5.78,3.56
1.02,Ideal,D,SI1,61.2,56,6040,6.51,6.56,4
0.62,Ideal,D,VS1,61.9,57,2508,5.47,5.55,3.41
0.31,Good,D,SI2,63.6,54,593,4.34,4.31,2.75
1.06,Premium,D,SI1,61.1,59,6352,6.63,6.56,4.03
1,Premium,D,SI1,61.4,58,5775,6.37,6.43,3.93
0.92,Ideal,D,SI2,60.3,56,3997,6.32,6.35,3.82
0.92,Good,D,SI2,59,58,3936,6.31,6.36,3.74
0.31,Very Good,D,SI1,63.5,58,732,4.3,4.27,2.72
0.91,Ideal,D,SI1,62.1,55,5535,6.2,6.24,3.86
0.41,Premium,D,VVS2,61.8,58,1356,4.79,4.75,2.95
0.56,Ideal,D,VVS1,61.9,56,3496,5.32,5.28,3.28
0.24,Premium,D,VVS1,61.5,60,710,4,3.97,2.45
1.52,Very Good,D,VS2,63.4,59,14680,7.32,7.24,4.61
0.73,Ideal,D,VS2,61.9,56,3255,5.76,5.81,3.58
0.36,Ideal,D,VS2,61.7,55,1094,4.6,4.58,2.83
0.53,Ideal,D,VS2,62.1,55,1857,5.17,5.2,3.22
0.3,Ideal,D,VS2,62.3,53.9,762,4.3,4.32,2.69
0.93,Premium,D,SI2,62,56,4692,6.27,6.22,3.87
0.73,Very Good,D,SI1,63.6,57,2548,5.68,5.71,3.62
0.43,Ideal,D,SI1,62.5,55,774,4.8,4.83,3.01
0.41,Ideal,D,SI1,63,53,744,4.74,4.79,3
2.26,Very Good,D,SI2,61.6,61,18028,8.47,8.38,5.19
0.31,Ideal,D,VS2,61.2,55,942,4.42,4.37,2.69
0.83,Premium,D,SI1,61.3,58,2990,6.03,6,3.69
0.57,Ideal,D,VS2,62.1,56,1963,5.34,5.29,3.3
0.41,Ideal,D,SI1,61,57,1015,4.8,4.78,2.92
0.9,Very Good,D,VS2,58.8,61,4729,6.27,6.32,3.7
2.21,Ideal,D,SI2,62,57,16558,8.36,8.31,5.18
0.59,Very Good,D,VVS1,61.8,57,3234,5.37,5.41,3.33
0.5,Premium,D,VS2,61.2,60,1845,5.12,5.08,3.12
0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61
1.04,Ideal,D,IF,61.8,57,14494,6.49,6.52,4.02
0.92,Good,D,SI1,63.1,58,4158,6.11,6.16,3.87
1.01,Very Good,D,SI2,62,59,4528,6.36,6.4,3.96
1.01,Very Good,D,SI2,60.3,57,4588,6.51,6.56,3.94
0.8,Ideal,D,SI2,61.9,54,3154,6,5.95,3.7
0.51,Ideal,D,VS2,61.9,57,1882,5.15,5.09,3.17
0.31,Ideal,D,SI1,62.3,54,732,4.37,4.33,2.71
1,Premium,D,SI1,61.5,60,5390,6.34,6.38,3.91
0.4,Good,D,SI2,63.8,54,622,4.7,4.73,3.01
0.52,Premium,D,SI1,59.7,60,1344,5.26,5.19,3.12
1.36,Ideal,D,SI2,61.2,57,6443,7.15,7.19,4.39
1.51,Fair,D,SI1,64.1,60,9293,7.18,7.11,4.58
0.7,Ideal,D,VS2,61.5,56,3129,5.7,5.74,3.52
0.51,Ideal,D,VS2,61.9,54,1660,5.14,5.17,3.19
0.7,Premium,D,SI1,62.6,58,2550,5.67,5.6,3.53
0.34,Ideal,D,SI1,60.1,57,803,4.56,4.52,2.73
0.31,Good,D,SI1,63.8,57,533,4.29,4.33,2.75
0.88,Ideal,D,SI2,62.2,56,3962,6.12,6.16,3.82
1.2,Premium,D,VS2,61.1,58,10161,6.85,6.83,4.18
0.41,Very Good,D,VVS2,61.2,55,1364,4.79,4.82,2.95
1.58,Ideal,D,SI2,62.5,55,11428,7.39,7.45,4.64
0.35,Ideal,D,SI1,62.3,55,827,4.56,4.52,2.83
0.31,Ideal,D,VS2,62.2,57,942,4.34,4.31,2.69
0.35,Ideal,D,VS2,60.5,56,707,4.6,4.63,2.79
0.43,Premium,D,VVS2,59.5,59,1159,4.95,4.97,2.95
2.11,Ideal,D,SI2,62.7,56,16404,8.25,8.18,5.14
1.01,Premium,D,VS1,62.4,58,8265,6.38,6.41,3.99
0.71,Ideal,D,SI1,60.8,57,3502,5.75,5.78,3.5
0.54,Premium,D,VS2,61.5,58,1993,5.26,5.21,3.22
0.72,Very Good,D,VS1,59.4,56,3619,5.85,5.9,3.49
0.76,Good,D,VS1,63.7,56,3950,5.81,5.77,3.69
0.31,Ideal,D,VS2,61.7,55,942,4.4,4.35,2.7
0.96,Good,D,SI1,61,61,4693,6.29,6.33,3.85
1,Premium,D,VS1,59.7,60,8124,6.45,6.42,3.84
0.6,Ideal,D,VS2,61.4,53,2473,5.45,5.5,3.36
0.3,Premium,D,VVS2,62.4,58,752,4.26,4.3,2.67
1,Good,D,SI2,64.3,60,3965,6.22,6.19,3.99
0.71,Ideal,D,SI2,61.3,57,2610,5.71,5.78,3.52
0.32,Ideal,D,VVS2,62.3,54,841,4.42,4.44,2.76
0.42,Very Good,D,SI1,63,57,756,4.77,4.81,3.02
1.5,Very Good,D,SI2,64,56,10730,7.17,7.23,4.61
0.51,Premium,D,VS2,62,60,1716,5.07,5.12,3.16
0.23,Premium,D,VS2,58.5,61,411,4.06,3.98,2.35
0.38,Very Good,D,VS2,58.7,61,871,4.74,4.77,2.79
0.23,Premium,D,VVS2,60.4,59,680,4,3.95,2.4
0.56,Ideal,D,IF,60.8,58,4632,5.35,5.31,3.24
0.3,Very Good,D,SI1,61,61,552,4.27,4.29,2.61
1,Very Good,D,VS2,59.8,60,7281,6.46,6.49,3.87
0.7,Fair,D,SI1,66.2,57,2550,5.56,5.41,3.63
0.7,Very Good,D,SI1,61,59,2409,5.67,5.7,3.47
0.44,Ideal,D,VS2,60.4,56,1155,4.95,4.91,2.98
0.3,Premium,D,SI1,60.6,60,709,4.32,4.3,2.61
0.58,Ideal,D,VS1,61.8,56,2211,5.34,5.37,3.31
1,Good,D,VS2,62.8,61,6189,6.31,6.34,3.97
2.57,Premium,D,SI2,58.9,58,17924,8.99,8.94,5.28
0.56,Premium,D,VS2,61.1,58,1963,5.3,5.34,3.25
0.52,Ideal,D,VVS2,60.4,57,2426,5.25,5.28,3.18
1.01,Good,D,SI1,63.1,60,5443,6.32,6.39,4.01
0.55,Premium,D,SI1,62.7,59,1698,5.25,5.22,3.28
0.31,Ideal,D,VS2,62,55,734,4.36,4.38,2.71
1.19,Ideal,D,SI2,60.4,55,5406,6.89,6.91,4.17
1.01,Fair,D,SI1,63.5,58,4751,6.35,6.25,4
0.73,Fair,D,SI2,65.5,60,2147,5.64,5.54,3.66
0.34,Very Good,D,VS2,60,59,730,4.5,4.56,2.72
0.64,Premium,D,SI1,62.3,58,2074,5.53,5.49,3.43
1.44,Very Good,D,VS2,63.1,56,10967,7.15,7.12,4.5
0.52,Premium,D,VVS1,58.8,61,2553,5.31,5.27,3.11
1.27,Very Good,D,SI1,62.5,58,8312,6.87,6.92,4.31
